method,representation_family,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_runs
ClinicalBERT (Original),Original note,0.323529,0.000000,0.221706,0.000000,3
MPNet (Original),Original note,0.598039,0.000000,0.517426,0.000000,3
TF-IDF (Original),Original note,0.735294,0.000000,0.621328,0.000000,3
Original Hybrid,Original note,0.803922,0.000000,0.671896,0.000000,3
MPNet (Original) + MPNet (LLM),LLM variation,0.754902,0.009804,0.663127,0.045742,3
MPNet (LLM),LLM variation,0.774510,0.009804,0.705757,0.028383,3
TF-IDF (LLM),LLM variation,0.807190,0.011321,0.714692,0.040783,3
LLM Hybrid,LLM variation,0.843137,0.016981,0.781111,0.048099,3
LLM-Augmented Hybrid,Proposed,0.849673,0.005660,0.794546,0.019509,3
Direct LLM Classifier,Direct LLM control,0.823529,0.000000,0.742144,0.003400,3
